Supplementary Table 2. List of genes with pathogenic variant frequencies in Pan-cancer compared to controls																		
																		
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Case-control (PTVs)					Case-control (ClinVar Pathogenic variants)					Case-control (PTVs + ClinVar Pathogenic variants)				
				PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR	PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR	PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR
RARS2	ENSG00000146282	OMIM	AR	0.08	0.04	0.54	0.690	0.745	-	-	-	-	-	0.08	0.04	0.54	0.690	0.742
RASA2	ENSG00000155903	SOD	Not OMIM	0.04	0.16	-1.51	0.236	0.278	-	-	-	-	-	0.04	0.16	-1.51	0.236	0.277
RAX2	ENSG00000173976	OMIM	AD	-	-	-	-	-	0.08	0.24	0.89	0.503	0.565	0.08	0.24	0.89	0.503	0.563
RDH12	ENSG00000139988	OMIM	ADAR	0.08	0.12	-0.57	0.670	0.726	0.08	0.24	-1.73	0.134	0.159	0.08	0.24	-1.73	0.134	0.159
RDH5	ENSG00000135437	OMIM	ADAR	0.04	0.12	-1.58	0.241	0.283	0.04	0.08	0.51	0.776	0.806	0.08	0.20	-1.17	0.330	0.383
RECQL	ENSG00000004700	CPG	Not OMIM	0.23	0.12	0.56	0.598	0.661	-	-	-	-	-	0.23	0.12	0.56	0.598	0.658
RECQL4	ENSG00000160957	CPG	Not OMIM	0.11	0.04	2.05	0.174	0.206	0.08	0.08	0.78	0.547	0.607	0.11	0.08	1.17	0.338	0.392
RET	ENSG00000165731	CPG	Not OMIM	-	-	-	-	-	0.08	0.04	0.92	0.540	0.600	0.08	0.04	0.92	0.540	0.599
RGL3	ENSG00000205517	SOD	Not OMIM	0.38	0.24	-0.60	0.448	0.510	-	-	-	-	-	0.38	0.24	-0.60	0.448	0.507
RHO	ENSG00000163914	OMIM	AD	-	-	-	-	-	0.19	0.04	1.36	0.262	0.307	0.19	0.04	1.36	0.262	0.306
RIMS1	ENSG00000079841	OMIM	Other	0.34	0.20	0.65	0.405	0.464	-	-	-	-	-	0.34	0.20	0.65	0.405	0.461
RNASEH2A	ENSG00000104889	OMIM	AR	0.00	0.12	-0.63	0.711	0.763	-	-	-	-	-	0.00	0.12	-0.63	0.711	0.760
RNASEL	ENSG00000135828	OMIM	AD	0.11	0.04	2.14	0.183	0.217	-	-	-	-	-	0.11	0.04	2.14	0.183	0.216
RNF213	ENSG00000173821	SOD	Not OMIM	0.30	0.84	-0.30	0.677	0.733	-	-	-	-	-	0.30	0.84	-0.30	0.677	0.730
ROBO4	ENSG00000154133	OMIM	AD	-	-	-	-	-	0.04	0.08	-0.25	0.863	0.883	0.11	0.08	0.55	0.653	0.708
ROM1	ENSG00000149489	OMIM	ADAR	0.04	0.32	-2.11	0.069	0.082	-	-	-	-	-	0.04	0.32	-2.11	0.069	0.082
RORA	ENSG00000069667	OMIM	AD	0.04	0.20	-0.95	0.440	0.501	-	-	-	-	-	0.04	0.20	-0.95	0.440	0.498
RORC	ENSG00000143365	OMIM	AR	0.34	0.24	-0.05	0.960	0.965	-	-	-	-	-	0.34	0.24	-0.05	0.960	0.965
ROS1	ENSG00000047936	SOD	Not OMIM	0.23	0.40	-0.18	0.849	0.873	-	-	-	-	-	0.23	0.40	-0.18	0.849	0.871
RP1	ENSG00000104237	OMIM	ADAR	-	-	-	-	-	0.15	0.12	1.08	0.299	0.348	0.15	0.12	1.08	0.299	0.348
RP1L1	ENSG00000183638	OMIM	AD	0.64	0.92	-0.78	0.143	0.171	0.11	0.04	0.71	0.587	0.647	0.68	0.92	-0.72	0.173	0.205
RPE65	ENSG00000116745	OMIM	AR	-	-	-	-	-	0.08	0.16	0.06	0.957	0.964	0.08	0.16	0.06	0.957	0.963
RPGRIP1	ENSG00000092200	OMIM	AR	0.04	0.24	-1.94	0.146	0.174	0.00	0.20	-1.71	0.328	0.381	0.04	0.32	-1.94	0.146	0.173
RPGRIP1L	ENSG00000103494	OMIM	AR	0.19	0.12	0.18	0.867	0.889	0.11	0.00	1.95	0.238	0.280	0.26	0.12	0.90	0.368	0.424
RRP36	ENSG00000124541	SOD	Not OMIM	0.11	0.04	1.92	0.211	0.249	-	-	-	-	-	0.11	0.04	1.92	0.211	0.249
RSPH1	ENSG00000160188	OMIM	AR	0.11	0.12	-0.22	0.863	0.886	0.11	0.08	-0.10	0.938	0.949	0.11	0.12	-0.22	0.863	0.884
RTN4R	ENSG00000040608	OMIM	AD	-	-	-	-	-	0.15	0.36	-0.68	0.472	0.533	0.15	0.36	-0.68	0.472	0.532
RTTN	ENSG00000176225	OMIM	AR	0.11	0.08	0.43	0.727	0.776	-	-	-	-	-	0.11	0.08	0.43	0.727	0.774
RYR1	ENSG00000196218	OMIM	AD	0.19	0.08	-0.06	0.954	0.961	0.34	0.20	-0.53	0.526	0.587	0.45	0.24	-0.34	0.650	0.705
SACS	ENSG00000151835	OMIM	AR	0.30	0.04	1.84	0.183	0.216	-	-	-	-	-	0.30	0.04	1.84	0.183	0.216
SAMD9	ENSG00000205413	OMIM	ADAR	0.19	0.20	-0.04	0.971	0.974	-	-	-	-	-	0.19	0.20	-0.04	0.971	0.974
SAMHD1	ENSG00000101347	OMIM	ADAR	-	-	-	-	-	-	-	-	-	-	0.11	0.00	1.13	0.505	0.565
SAR1B	ENSG00000152700	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.04	0.08	-0.81	0.576	0.636
SARDH	ENSG00000123453	OMIM	AR	0.11	0.04	1.45	0.362	0.419	-	-	-	-	-	0.11	0.04	1.45	0.362	0.417
SBF1	ENSG00000100241	OMIM	AR	-	-	-	-	-	0.19	0.08	0.99	0.404	0.462	0.19	0.08	0.99	0.404	0.461
SCN10A	ENSG00000185313	OMIM	AD	0.08	0.08	-1.09	0.381	0.440	-	-	-	-	-	0.08	0.08	-1.09	0.381	0.437
SCN11A	ENSG00000168356	OMIM	AD	0.19	0.00	2.96	0.072	0.086	-	-	-	-	-	0.19	0.00	2.96	0.072	0.086
SCN5A	ENSG00000183873	OMIM	AD	-	-	-	-	-	0.04	0.12	-1.16	0.395	0.453	0.04	0.12	-1.16	0.395	0.452
SCN9A	ENSG00000169432	OMIM	AD	0.08	0.04	1.80	0.261	0.306	-	-	-	-	-	0.08	0.08	1.21	0.389	0.445
SCNN1A	ENSG00000111319	OMIM	AD	-	-	-	-	-	0.04	0.08	1.25	0.402	0.460	0.04	0.08	1.25	0.402	0.459
SCNN1B	ENSG00000168447	OMIM	AD	-	-	-	-	-	0.04	0.08	-0.11	0.945	0.955	0.04	0.12	-0.14	0.930	0.942
SCO2	ENSG00000130489	OMIM	ADAR	-	-	-	-	-	0.26	0.28	-0.49	0.598	0.658	0.34	0.28	-0.20	0.820	0.844
SDCCAG8	ENSG00000054282	OMIM	AR	0.11	0.00	1.56	0.345	0.400	-	-	-	-	-	0.11	0.00	1.56	0.345	0.399
SDHB	ENSG00000117118	CPG	Not OMIM	-	-	-	-	-	0.08	0.12	-1.57	0.193	0.228	0.08	0.12	-1.57	0.193	0.228
SDR9C7	ENSG00000170426	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	-0.34	0.806	0.831
SEC23A	ENSG00000100934	OMIM	AR	-	-	-	-	-	0.15	0.04	0.04	0.976	0.979	0.15	0.04	0.04	0.976	0.979
SEC23B	ENSG00000101310	OMIM	ADAR	0.11	0.04	-0.20	0.883	0.903	0.26	0.04	1.37	0.311	0.361	0.26	0.08	0.47	0.678	0.731
SEC31A	ENSG00000138674	OMIM	AR	0.15	0.00	2.87	0.136	0.162	-	-	-	-	-	0.15	0.00	2.87	0.136	0.162
SECISBP2	ENSG00000187742	OMIM	AR	0.08	0.04	-0.04	0.978	0.981	-	-	-	-	-	0.08	0.04	-0.04	0.978	0.981
SELP	ENSG00000174175	SOD	Not OMIM	0.23	0.04	2.35	0.128	0.152	-	-	-	-	-	0.23	0.04	2.35	0.128	0.152
SEMA4D	ENSG00000187764	SOD	Not OMIM	0.00	0.16	-0.79	0.636	0.695	-	-	-	-	-	0.00	0.16	-0.79	0.636	0.692
SEPN1	ENSG00000162430	OMIM	AR	-	-	-	-	-	0.19	0.00	2.07	0.207	0.245	0.23	0.00	3.82	0.050	0.059
SEPSECS	ENSG00000109618	OMIM	AR	-	-	-	-	-	0.08	0.04	0.34	0.816	0.840	0.11	0.04	0.56	0.692	0.744
SEPT12	ENSG00000140623	OMIM	AD	0.04	0.08	0.43	0.796	0.823	0.08	0.08	1.35	0.316	0.367	0.11	0.16	1.27	0.298	0.346
SERPINA1	ENSG00000197249	CPG	Not OMIM	-	-	-	-	-	0.76	0.16	1.05	0.188	0.223	0.76	0.16	1.05	0.188	0.222
SERPINA3	ENSG00000196136	OMIM	Other	0.11	0.04	1.42	0.275	0.321	-	-	-	-	-	0.11	0.04	1.42	0.275	0.320
SERPINB7	ENSG00000166396	OMIM	AR	0.08	0.16	-1.08	0.366	0.423	-	-	-	-	-	0.08	0.16	-1.08	0.366	0.421
SERPINB8	ENSG00000166401	OMIM	AR	0.15	0.04	2.43	0.150	0.178	-	-	-	-	-	0.15	0.04	2.43	0.150	0.178
SERPINC1	ENSG00000117601	OMIM	ADAR	-	-	-	-	-	0.11	0.08	-0.69	0.568	0.628	0.11	0.08	-0.69	0.568	0.627
SERPIND1	ENSG00000099937	OMIM	AD	-	-	-	-	-	0.30	0.24	-1.19	0.122	0.145	0.38	0.24	-0.90	0.220	0.259
SETD2	ENSG00000181555	OMIM	AD	0.00	0.16	-3.28	0.043	0.052	-	-	-	-	-	0.00	0.16	-3.28	0.043	0.052
SETX	ENSG00000107290	OMIM	ADAR	-	-	-	-	-	0.00	0.36	-0.64	0.705	0.758	0.08	0.36	0.28	0.820	0.844
SF3B1	ENSG00000115524	OMIM	Other	-	-	-	-	-	0.08	0.04	0.71	0.677	0.733	0.08	0.04	0.71	0.677	0.730
SGCA	ENSG00000108823	OMIM	AR	-	-	-	-	-	0.15	0.20	-1.36	0.149	0.176	0.15	0.20	-1.36	0.149	0.176
SGSH	ENSG00000181523	OMIM	AR	-	-	-	-	-	0.30	0.12	0.20	0.827	0.850	0.30	0.16	-0.24	0.786	0.814
SH2B3	ENSG00000111252	CPG	Not OMIM	-	-	-	-	-	0.19	0.00	1.50	0.354	0.409	0.19	0.00	1.50	0.354	0.409
SH3TC2	ENSG00000169247	OMIM	ADAR	0.34	0.04	1.43	0.258	0.302	0.38	0.04	1.51	0.226	0.266	0.38	0.04	1.51	0.226	0.266
SHPK	ENSG00000197417	OMIM	AR	0.08	0.20	-1.57	0.188	0.223	-	-	-	-	-	0.08	0.20	-1.57	0.188	0.222
SI	ENSG00000090402	OMIM	AR	0.34	0.08	1.67	0.145	0.172	1.06	0.12	1.60	0.071	0.084	1.29	0.16	1.91	0.021	0.025
SIAE	ENSG00000110013	OMIM	Other	-	-	-	-	-	0.42	0.24	-0.43	0.552	0.612	0.42	0.32	-0.62	0.373	0.428
SIL1	ENSG00000120725	OMIM	AR	0.08	0.04	0.78	0.635	0.694	-	-	-	-	-	0.08	0.04	0.78	0.635	0.692
SKIV2L	ENSG00000204351	OMIM	AR	0.15	0.08	0.32	0.804	0.830	-	-	-	-	-	0.15	0.08	0.32	0.804	0.829
SLC10A2	ENSG00000125255	OMIM	AR	0.15	0.28	-1.18	0.212	0.250	-	-	-	-	-	0.15	0.28	-1.18	0.212	0.249
SLC11A1	ENSG00000018280	OMIM	Other	0.08	0.04	0.57	0.676	0.732	-	-	-	-	-	0.08	0.04	0.57	0.676	0.729
SLC12A3	ENSG00000070915	OMIM	AR	-	-	-	-	-	0.49	0.12	0.78	0.402	0.461	0.53	0.12	0.97	0.290	0.338
SLC13A5	ENSG00000141485	OMIM	AR	-	-	-	-	-	0.15	0.00	1.40	0.394	0.453	0.15	0.00	1.40	0.394	0.451
SLC17A3	ENSG00000124564	OMIM	AD	0.15	0.16	0.81	0.492	0.554	-	-	-	-	-	0.15	0.16	0.81	0.492	0.551
SLC17A5	ENSG00000119899	OMIM	AR	-	-	-	-	-	0.00	0.12	-1.95	0.230	0.270	0.00	0.12	-1.95	0.230	0.270
SLC17A9	ENSG00000101194	OMIM	AD	0.00	0.48	-3.16	0.039	0.047	-	-	-	-	-	0.00	0.48	-3.16	0.039	0.047
SLC22A12	ENSG00000197891	OMIM	AR	0.45	0.24	1.28	0.065	0.078	0.38	0.20	1.12	0.130	0.155	0.45	0.24	1.28	0.065	0.078
SLC22A4	ENSG00000197208	OMIM	Other	0.04	0.08	-0.02	0.988	0.989	-	-	-	-	-	0.04	0.08	-0.02	0.988	0.989
SLC22A5	ENSG00000197375	OMIM	AR	0.15	0.12	-0.09	0.931	0.944	0.19	0.36	-0.94	0.282	0.329	0.19	0.40	-0.98	0.253	0.296
SLC24A1	ENSG00000074621	OMIM	AR	0.15	0.08	0.60	0.646	0.704	-	-	-	-	-	0.15	0.08	0.60	0.646	0.701
SLC24A4	ENSG00000140090	OMIM	AR	0.11	0.00	2.15	0.183	0.217	-	-	-	-	-	0.11	0.00	2.15	0.183	0.216
SLC24A5	ENSG00000188467	OMIM	AR	0.23	0.00	1.94	0.224	0.265	-	-	-	-	-	0.23	0.00	1.94	0.224	0.264
SLC25A24	ENSG00000085491	OMIM	AD	0.08	0.08	0.78	0.550	0.613	-	-	-	-	-	0.08	0.08	0.78	0.550	0.610
SLC25A26	ENSG00000144741	OMIM	AR	0.11	0.00	1.04	0.542	0.604	-	-	-	-	-	0.11	0.00	1.04	0.542	0.602
SLC26A1	ENSG00000145217	OMIM	AR	0.19	0.12	1.09	0.275	0.322	0.00	0.12	-2.54	0.136	0.161	0.19	0.24	-0.09	0.919	0.933
SLC26A2	ENSG00000155850	OMIM	AR	-	-	-	-	-	0.19	0.28	-1.41	0.106	0.126	0.19	0.28	-1.41	0.106	0.126
SLC26A3	ENSG00000091138	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	0.96	0.507	0.567
SLC26A4	ENSG00000091137	OMIM	AR	-	-	-	-	-	0.57	0.44	-0.06	0.931	0.944	0.57	0.44	-0.06	0.931	0.943
SLC26A8	ENSG00000112053	OMIM	AD	0.11	0.00	2.23	0.210	0.248	0.11	0.16	1.93	0.082	0.098	0.23	0.16	2.41	0.017	0.020
SLC28A1	ENSG00000156222	OMIM	AR	0.08	0.12	0.21	0.885	0.905	-	-	-	-	-	0.08	0.12	0.21	0.885	0.903
SLC29A3	ENSG00000198246	OMIM	AR	0.08	0.08	1.06	0.484	0.547	0.00	0.16	-0.54	0.756	0.793	0.08	0.16	0.48	0.707	0.757
SLC2A9	ENSG00000109667	OMIM	ADAR	0.04	0.12	0.07	0.957	0.964	0.08	0.16	-1.20	0.301	0.351	0.11	0.28	-0.88	0.377	0.433
SLC30A8	ENSG00000164756	OMIM	AD	0.11	0.04	1.57	0.305	0.356	-	-	-	-	-	0.11	0.04	1.57	0.305	0.355
SLC34A1	ENSG00000131183	OMIM	AR	-	-	-	-	-	0.04	0.08	-0.13	0.930	0.944	0.04	0.12	-0.68	0.632	0.689
SLC34A3	ENSG00000198569	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.11	0.04	0.23	0.865	0.886
SLC36A2	ENSG00000186335	OMIM	ADAR	0.15	0.00	1.99	0.218	0.257	-	-	-	-	-	0.15	0.00	1.99	0.218	0.256
SLC37A4	ENSG00000137700	OMIM	AR	0.15	0.04	0.94	0.512	0.574	0.15	0.08	0.28	0.817	0.842	0.19	0.08	0.40	0.733	0.779
SLC38A8	ENSG00000166558	OMIM	AR	0.11	0.00	1.13	0.502	0.565	-	-	-	-	-	0.11	0.00	1.13	0.502	0.562
SLC39A5	ENSG00000139540	OMIM	AD	0.26	0.04	1.54	0.271	0.317	-	-	-	-	-	0.26	0.04	1.54	0.271	0.316
SLC3A1	ENSG00000138079	OMIM	ADAR	0.19	0.08	1.52	0.253	0.297	0.00	0.12	-2.13	0.213	0.251	0.19	0.20	0.01	0.995	0.996
SLC44A3	ENSG00000143036	SOD	Not OMIM	0.11	0.12	-0.43	0.711	0.763	-	-	-	-	-	0.11	0.12	-0.43	0.711	0.760
SLC45A2	ENSG00000164175	OMIM	AR	0.15	0.04	1.92	0.204	0.241	0.11	0.00	0.98	0.569	0.628	0.15	0.04	1.92	0.204	0.241
SLC4A1	ENSG00000004939	OMIM	AD	-	-	-	-	-	0.08	0.20	-0.63	0.565	0.625	0.08	0.20	-0.63	0.565	0.624
SLC52A1	ENSG00000132517	OMIM	AD	0.04	0.20	-0.51	0.712	0.764	-	-	-	-	-	0.04	0.20	-0.51	0.712	0.761
SLC52A2	ENSG00000185803	OMIM	AR	-	-	-	-	-	0.11	0.00	1.12	0.509	0.571	0.11	0.00	1.12	0.509	0.569
SLC5A2	ENSG00000140675	OMIM	ADAR	0.08	0.04	0.22	0.872	0.894	-	-	-	-	-	0.08	0.04	0.22	0.872	0.892
SLC6A19	ENSG00000174358	OMIM	AR	0.04	0.08	0.49	0.784	0.814	0.34	0.24	-0.75	0.353	0.408	0.38	0.32	-0.64	0.416	0.473
SLC6A20	ENSG00000163817	OMIM	ADAR	0.23	0.08	1.53	0.243	0.285	-	-	-	-	-	0.23	0.08	1.53	0.243	0.284
SLC6A4	ENSG00000108576	OMIM	AD	-	-	-	-	-	0.11	0.04	0.64	0.656	0.712	0.11	0.04	0.64	0.656	0.710
SLC6A5	ENSG00000165970	OMIM	ADAR	0.08	0.04	-0.47	0.739	0.785	-	-	-	-	-	0.08	0.04	-0.47	0.739	0.783
SLC7A9	ENSG00000021488	OMIM	ADAR	0.15	0.00	1.34	0.419	0.479	0.45	0.20	-0.56	0.446	0.506	0.53	0.20	-0.33	0.646	0.701
SLC9A3R1	ENSG00000109062	OMIM	AD	0.00	0.28	-0.41	0.814	0.840	-	-	-	-	-	0.00	0.28	-0.41	0.814	0.839
SLC9A7	ENSG00000065923	OMIM	Other	0.00	0.12	-0.49	0.780	0.812	-	-	-	-	-	0.00	0.12	-0.49	0.780	0.811
SLC9A9	ENSG00000181804	OMIM	Other	0.08	0.08	-0.10	0.937	0.948	-	-	-	-	-	0.08	0.08	-0.10	0.937	0.947
SLCO1B1	ENSG00000134538	OMIM	Other	0.04	0.32	-2.06	0.081	0.097	-	-	-	-	-	0.04	0.32	-2.06	0.081	0.097
SLCO1B3	ENSG00000111700	OMIM	Other	0.26	0.16	1.74	0.076	0.091	-	-	-	-	-	0.26	0.16	1.74	0.076	0.091
SLCO2A1	ENSG00000174640	OMIM	AR	0.11	0.00	2.50	0.181	0.214	-	-	-	-	-	0.11	0.00	2.50	0.181	0.214
SMPD1	ENSG00000166311	OMIM	AR	-	-	-	-	-	0.15	0.08	0.52	0.682	0.737	0.15	0.12	-0.34	0.773	0.806
SNCB	ENSG00000074317	OMIM	AD	-	-	-	-	-	0.11	0.12	-0.38	0.746	0.788	0.11	0.12	-0.38	0.746	0.788
SNX14	ENSG00000135317	OMIM	AR	0.11	0.00	1.28	0.445	0.506	-	-	-	-	-	0.11	0.00	1.28	0.445	0.503
SOX4	ENSG00000124766	OMIM	AD	0.00	0.36	-2.30	0.152	0.181	-	-	-	-	-	0.00	0.36	-2.30	0.152	0.181
SP110	ENSG00000135899	OMIM	AR	0.11	0.00	4.83	0.094	0.112	-	-	-	-	-	0.11	0.00	4.83	0.094	0.112
SPAG1	ENSG00000104450	OMIM	AR	0.11	0.00	1.20	0.474	0.537	-	-	-	-	-	0.11	0.00	1.20	0.474	0.534
SPATA31E1	ENSG00000177992	SOD	Not OMIM	0.15	0.04	1.53	0.275	0.321	-	-	-	-	-	0.15	0.04	1.53	0.275	0.321
SPATA5	ENSG00000145375	OMIM	AR	0.19	0.04	0.29	0.818	0.844	-	-	-	-	-	0.19	0.04	0.29	0.818	0.843
SPECC1	ENSG00000128487	SOD	Not OMIM	0.04	0.08	-0.59	0.687	0.742	-	-	-	-	-	0.04	0.08	-0.59	0.687	0.739
SPG11	ENSG00000104133	OMIM	AR	-	-	-	-	-	0.11	0.12	0.06	0.960	0.968	0.11	0.12	0.06	0.960	0.966
SPG21	ENSG00000090487	OMIM	AR	0.04	0.08	-0.50	0.725	0.775	-	-	-	-	-	0.04	0.08	-0.50	0.725	0.773
SPG7	ENSG00000197912	OMIM	ADAR	0.19	0.04	1.51	0.252	0.295	0.23	0.24	-0.25	0.776	0.806	0.38	0.24	0.39	0.622	0.680
SPINK5	ENSG00000133710	OMIM	AR	0.11	0.20	-0.36	0.753	0.793	-	-	-	-	-	0.15	0.20	-0.18	0.867	0.888
SPR	ENSG00000116096	OMIM	ADAR	-	-	-	-	-	0.11	0.00	1.07	0.529	0.589	0.11	0.00	1.07	0.529	0.589
SPTA1	ENSG00000163554	OMIM	AR	0.15	0.00	2.16	0.200	0.237	0.00	0.56	-3.57	0.024	0.029	0.15	0.56	-1.30	0.142	0.169
SPTB	ENSG00000070182	OMIM	AD	0.26	0.20	0.75	0.346	0.402	0.26	0.20	0.75	0.346	0.401	0.26	0.20	0.75	0.346	0.400
SRD5A3	ENSG00000128039	OMIM	AR	0.34	0.16	1.03	0.327	0.380	0.08	0.08	1.76	0.246	0.289	0.34	0.16	1.03	0.327	0.379
SRGAP1	ENSG00000196935	OMIM	AD	-	-	-	-	-	0.19	0.12	-0.90	0.356	0.411	0.19	0.12	-0.90	0.356	0.411
SSC5D	ENSG00000179954	SOD	Not OMIM	0.26	0.12	0.71	0.465	0.528	-	-	-	-	-	0.26	0.12	0.71	0.465	0.525
SSTR5	ENSG00000162009	OMIM	Other	0.11	0.00	2.20	0.172	0.204	-	-	-	-	-	0.11	0.00	2.20	0.172	0.204
STAG3	ENSG00000066923	OMIM	AR	0.15	0.00	1.87	0.248	0.291	-	-	-	-	-	0.23	0.00	2.81	0.086	0.102
STEAP3	ENSG00000115107	OMIM	AD	0.08	0.12	-0.50	0.663	0.720	-	-	-	-	-	0.08	0.12	-0.50	0.663	0.717
STK19	ENSG00000204344	SOD	Not OMIM	0.08	0.04	-0.56	0.697	0.751	-	-	-	-	-	0.08	0.04	-0.56	0.697	0.748
STRA6	ENSG00000137868	OMIM	AR	-	-	-	-	-	0.08	0.08	-0.46	0.740	0.785	0.08	0.08	-0.46	0.740	0.783
SUGCT	ENSG00000175600	OMIM	AR	0.08	0.08	-0.38	0.755	0.795	-	-	-	-	-	0.08	0.08	-0.38	0.755	0.793
SUMO4	ENSG00000177688	OMIM	Other	0.19	0.04	0.24	0.850	0.873	-	-	-	-	-	0.19	0.04	0.24	0.850	0.872
SUN5	ENSG00000167098	OMIM	AR	0.08	0.04	0.58	0.687	0.742	-	-	-	-	-	0.08	0.04	0.58	0.687	0.739
SURF1	ENSG00000148290	OMIM	AR	0.19	0.00	2.88	0.094	0.112	0.15	0.00	2.82	0.104	0.124	0.19	0.00	2.88	0.094	0.112
SUSD2	ENSG00000099994	SOD	Not OMIM	0.15	0.28	-0.08	0.937	0.949	-	-	-	-	-	0.15	0.28	-0.08	0.937	0.948
SYCP3	ENSG00000139351	OMIM	AD	-	-	-	-	-	-	-	-	-	-	0.15	0.00	2.01	0.216	0.254
SYNE1	ENSG00000131018	OMIM	AR	0.19	0.08	-0.48	0.657	0.715	-	-	-	-	-	0.19	0.08	-0.48	0.657	0.712
SYNE2	ENSG00000054654	OMIM	AD	0.15	0.04	1.54	0.300	0.350	-	-	-	-	-	0.15	0.04	1.54	0.300	0.349
SYNE4	ENSG00000181392	OMIM	AR	0.19	0.00	1.32	0.423	0.483	0.11	0.00	1.06	0.534	0.594	0.19	0.00	1.32	0.423	0.480
SZT2	ENSG00000198198	OMIM	AR	0.11	0.08	0.37	0.759	0.798	0.19	0.08	1.28	0.376	0.433	0.30	0.16	0.90	0.380	0.436
TACR3	ENSG00000169836	OMIM	AR	0.15	0.00	1.18	0.481	0.544	0.11	0.00	0.98	0.569	0.629	0.15	0.00	1.18	0.481	0.541
TAS2R16	ENSG00000128519	OMIM	AD	0.15	0.00	1.72	0.287	0.335	-	-	-	-	-	0.15	0.00	1.72	0.287	0.334
TBC1D4	ENSG00000136111	OMIM	Other	0.08	0.08	-0.25	0.849	0.873	-	-	-	-	-	0.08	0.12	-0.64	0.605	0.664
TBCD	ENSG00000141556	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.04	0.08	-0.73	0.627	0.684
TBCE	ENSG00000116957	OMIM	AR	0.11	0.00	1.09	0.522	0.584	-	-	-	-	-	0.11	0.00	1.09	0.522	0.582
TBCK	ENSG00000145348	OMIM	AR	0.08	0.08	-0.18	0.889	0.908	-	-	-	-	-	0.08	0.08	-0.18	0.889	0.907
TBX19	ENSG00000143178	OMIM	AR	0.04	0.08	-0.86	0.555	0.618	-	-	-	-	-	0.04	0.08	-0.86	0.555	0.615
TBX6	ENSG00000149922	OMIM	ADAR	-	-	-	-	-	0.11	0.04	0.76	0.553	0.613	0.11	0.04	0.76	0.553	0.613
TBXA2R	ENSG00000006638	OMIM	AD	-	-	-	-	-	0.11	0.12	0.40	0.696	0.750	0.19	0.12	0.57	0.564	0.624
TBXAS1	ENSG00000059377	OMIM	ADAR	0.19	0.12	0.93	0.372	0.430	-	-	-	-	-	0.19	0.12	0.93	0.372	0.428
TCHH	ENSG00000159450	OMIM	AR	1.14	0.44	0.29	0.616	0.677	-	-	-	-	-	1.14	0.44	0.29	0.616	0.674
TCL1A	ENSG00000100721	SOD	Not OMIM	0.00	0.16	-2.96	0.077	0.092	-	-	-	-	-	0.00	0.16	-2.96	0.077	0.091
TCOF1	ENSG00000070814	OMIM	AD	0.00	0.12	-1.98	0.249	0.292	-	-	-	-	-	0.00	0.12	-1.98	0.249	0.292
TCP11L2	ENSG00000166046	SOD	Not OMIM	0.11	0.08	1.03	0.484	0.547	-	-	-	-	-	0.11	0.08	1.03	0.484	0.544
TCTN3	ENSG00000119977	OMIM	AR	0.11	0.04	1.95	0.211	0.249	-	-	-	-	-	0.11	0.04	1.95	0.211	0.248
TDRD10	ENSG00000163239	SOD	Not OMIM	0.08	0.08	-0.39	0.759	0.798	-	-	-	-	-	0.08	0.08	-0.39	0.759	0.796
TDRD9	ENSG00000156414	OMIM	AR	0.08	0.08	-1.12	0.367	0.425	-	-	-	-	-	0.08	0.08	-1.12	0.367	0.423
TECTA	ENSG00000109927	OMIM	ADAR	0.15	0.04	1.57	0.306	0.357	-	-	-	-	-	0.15	0.04	1.57	0.306	0.356
TEK	ENSG00000120156	OMIM	AD	-	-	-	-	-	0.11	0.12	0.99	0.359	0.415	0.11	0.12	0.99	0.359	0.414
TELO2	ENSG00000100726	OMIM	AR	0.08	0.04	1.28	0.406	0.466	0.08	0.08	-1.40	0.273	0.318	0.15	0.12	-0.42	0.716	0.765
TENM4	ENSG00000149256	OMIM	AD	-	-	-	-	-	0.08	0.12	2.17	0.094	0.112	0.08	0.12	2.17	0.094	0.112
TET2	ENSG00000168769	OMIM	Other	0.34	0.16	-0.08	0.927	0.941	-	-	-	-	-	0.34	0.16	-0.08	0.927	0.940
TEX11	ENSG00000120498	OMIM	Other	-	-	-	-	-	0.79	0.40	1.60	0.014	0.017	0.79	0.40	1.60	0.014	0.017
TEX14	ENSG00000121101	OMIM	AR	0.19	0.00	1.30	0.431	0.492	-	-	-	-	-	0.19	0.00	1.30	0.431	0.489
TEX15	ENSG00000133863	OMIM	AR	0.26	0.56	-1.22	0.106	0.127	-	-	-	-	-	0.26	0.56	-1.22	0.106	0.127
TF	ENSG00000091513	OMIM	AR	-	-	-	-	-	0.53	0.36	-0.74	0.267	0.312	0.53	0.36	-0.74	0.267	0.312
TG	ENSG00000042832	OMIM	AR	0.34	0.24	0.14	0.867	0.890	0.23	0.00	1.56	0.332	0.384	0.34	0.24	0.14	0.867	0.888
